X,Y,X,Y,KID,typ,dny,hodiny,tarif_kc_h,Lat,Lng
14.41621,50.09124,14.416210000000000,50.091239999999999,vz8,Z3,Po -  Pa,od 8 do 18,15,50.09124,14.41621
14.41545,50.09049,14.415450000000000,50.090490000000003,vz9,Z3,Po -  Pa,od 8 do 18,15,50.09049,14.41545
14.41635,50.09014,14.416350000000000,50.090139999999998,vz10,Z3,Po - Pa,od 8 do 18,15,50.09014,14.41635
14.41596,50.09003,14.415960000000000,50.090029999999999,vz11,Z3,Po - Pa,od 8 do 18,15,50.09003,14.41596
14.41563,50.08929,14.415630000000000,50.089289999999998,vz12,Z3,Po - Pa,od 8 do 18,15,50.08929,14.41563
14.42635,50.0925,14.426349999999999,50.092500000000001 ,vz13,O3,Po - Pa,od 8 do 18,40,50.09250,14.42635
14.42597,50.09237,14.425970000000000,50.092370000000003,vz14,O3,Po - Pa,od 8 do 18,40,50.09237,14.42597
14.42586,50.09066,14.425860000000000,50.090660000000000,vz15,Z2,Po - Pa,od 8 do 18,30,50.09066,14.42586
14.42691,50.09075,14.426909999999999,50.090750000000000,vz16,Z2,Po - Pa,od 8 do 18,30,50.09075,14.42691
14.42532,50.09249,14.425319999999999,50.092489999999998,vz18,O3,Po - Pa,od 8 do 18,40,50.09249,14.42532
14.42012,50.09226,14.420120000000001,50.092260000000003,vz19,Z2,Po - Pa,od 8 do 18,30,50.09226,14.42012
14.41578,50.09106,14.415780000000000,50.091059999999999,vz20,Z3,Po - Pa,od 8 do 18,15,50.09106,14.41578
14.41714,50.09187,14.417140000000000,50.091870000000000,vz21,Z3,Po - Pa,od 8 do 18,15,50.09187,14.41714
14.42646,50.09063,14.426460000000001,50.090629999999997,vz22,Z2,Po - Pa,od 8 do 18,30,50.09063,14.42646
14.41749,50.08724,14.417490000000001,50.087240000000001,vz1,O2,Po -  So,od 8 do 18,40,50.08724,14.41749
14.41723,50.08686,14.417230000000000,50.086860000000001,vz2,O2,Po -  So,od 8 do 18,40,50.08686,14.41723
14.41776,50.0868,14.417759999999999,50.086799999999997 ,vz3,O2,Po -  So,od 8 do 18,40,50.08680,14.41776
14.41821,50.08737,14.418210000000000,50.087370000000000,vz4,O2,Po -  So,od 8 do 18,40,50.08737,14.41821
14.41862,50.08756,14.418620000000001,50.087560000000003,vz5,Z1,Po -  So,od 8 do 18,30,50.08756,14.41862
14.41834,50.09123,14.418340000000001,50.091230000000003,vz6,Z1,Po -  So,od 8 do 18,30,50.09123,14.41834
14.41819,50.09109,14.418189999999999,50.091090000000001,vz7,Z1,Po -  So,od 8 do 18,30,50.09109,14.41819
14.42781,50.09007,14.427809999999999,50.090069999999997,vz17,O2,Po - So,od 8 do 18,40,50.09007,14.42781
